user_id,target_pos,inclusion_pos,original_interactions,exclusion_interactions,inclusion_interactions,length_exclusion_cfs,length_inclusion_cfs
5,1,4,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[230, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 60]","[230, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 60, 146]",6,[146]
5,3,5,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[230, 257, 359, 130, 358, 329, 227, 324, 253, 239, 107, 305, 60, 331, 123, 357]","[230, 257, 359, 130, 358, 329, 227, 324, 253, 239, 107, 305, 60, 331, 123, 357, 1567]",4,[1567]
5,5,2,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[230, 257, 359, 130, 358, 329, 372, 227, 324, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[230, 257, 359, 130, 358, 329, 372, 227, 324, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357, 825]",1,[825]
5,7,5,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357, 190]",1,[190]
8,1,0,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[236, 457, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[236, 457, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444, 1999]",6,[1999]
8,3,4,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[384, 461, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453]","[384, 461, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 577, 882]",2,[577 882]
8,5,0,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 473, 472, 514, 456, 481, 119, 453, 444]","[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 473, 472, 514, 456, 481, 119, 453, 444, 2380]",2,[2380]
8,7,7,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453]","[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 3580]",1,[3580]
9,1,3,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 196]",1,[196]
9,3,8,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 433]",1,[433]
9,5,8,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 114, 549, 323, 529]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 114, 549, 323, 529, 190]",2,[190]
9,7,5,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 434]",1,[434]
10,1,4,"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 11, 662, 435]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 11, 662, 435, 2104]",2,[2104]
10,3,0,"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 3477]",1,[3477]
10,5,0,"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 435, 660]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 435, 660, 247]",1,[247]
10,7,4,"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 11, 662, 435, 660]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 11, 662, 435, 660, 27]",1,[27]
11,1,1,"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]","[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 829, 799, 601, 807, 639, 704, 823, 684]","[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 829, 799, 601, 807, 639, 704, 823, 684, 1222]",1,[1222]
11,3,7,"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]","[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823]","[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 739]",1,[739]
11,5,3,"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]","[746, 165, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 807, 639, 704, 823, 684]","[746, 165, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 807, 639, 704, 823, 684, 267]",2,[267]
11,7,2,"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]","[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 829, 799, 601, 807, 639, 704, 823, 684]","[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 829, 799, 601, 807, 639, 704, 823, 684, 1102]",1,[1102]
